id	occupation	fine-tuned-0-he	fine-tuned-0-she	fine-tuned-500-he	fine-tuned-500-she	fine-tuned-1000-he	fine-tuned-1000-she	fine-tuned-2000-he	fine-tuned-2000-she	fine-tuned-5000-he	fine-tuned-5000-she	fine-tuned-10000-he	fine-tuned-10000-she	fine-tuned-20000-he	fine-tuned-20000-she
582	etiologist	5.272949635982513	5.614873886108398	3.673882782459259	3.8728602727254233	3.68385648727417	3.836689531803131	3.8912007212638855	3.781273066997528	3.6198490858078003	3.577295740445455	4.344355622927348	4.21031775077184	4.233570754528046	4.144837220509847
583	evaluator	2.8200544714927673	2.9773365457852683	2.0202805399894714	2.1286754806836448	2.0618329644203186	2.1173441410064697	4.425236463546753	4.205687363942464	2.310827394326528	2.2497398455937705	2.9473918279012046	2.862891753514608	2.7183314760526023	2.649637281894684
584	evaporator	4.664499461650848	5.225306391716003	2.4726263086001077	2.6146976550420127	3.7814121643702188	3.946532984574636	1.999491771062215	1.9256865779558818	2.187192658583323	2.1690078377723694	3.555367092291514	3.552550196647644	3.409331281979879	3.3622443477312722
585	eviscerator	2.9995617071787515	3.2311747471491494	1.8578144709269206	1.9180352290471394	2.041890799999237	2.0322339137395224	1.9415817459424336	1.8564380407333374	1.8685972293217976	1.8203856150309246	2.3745790322621665	2.3035446802775064	2.210562209288279	2.138312578201294
586	evp	6.402271330356598	6.886524756749471	3.773585577805837	4.036949078241984	3.253701945145925	3.373756388823191	3.384851356347402	3.2513673504193625	2.931242823600769	2.8469457228978476	3.8765878677368164	3.7769432266553244	2.845468600591024	2.768086532751719
587	exerciser	7.46514089902242	7.734544436136882	3.2709032694498696	3.364381988843282	3.483539044857025	3.503711223602295	3.0058850049972534	2.834878067175547	3.8959305683771768	3.7389131585756936	4.626019338766734	4.378531336784363	3.5626985232035318	3.4389448761940002
588	exhauster	16.998558044433594	20.475649038950603	5.2600706815719604	5.671040455500285	5.740435083707173	5.937999367713928	5.03964626789093	4.803245882193248	3.9795511762301126	3.9180373350779214	6.742704351743062	6.530059536298116	4.285171369711558	4.127688507239024
589	expander	10.123029510180155	10.698329289754232	4.828798154989879	5.09250420331955	5.1199623346328735	5.276517311731975	5.125919858614604	4.922235568364461	5.850313385327657	5.712430715560913	4.959407905737559	4.775421222050984	4.2737476627031965	4.117919127146403
590	expediter	3.619660178820292	3.8305062651634216	2.2365588744481406	2.357909401257833	2.2963121930758157	2.351100126902262	2.1186218857765198	2.029915750026703	2.3718669613202414	2.331267754236857	3.5363014737764993	3.4324766794840493	2.6799339652061462	2.613104244073232
591	extender	12.197089950243631	11.475244363149008	5.074673771858215	4.969116727511088	4.669739067554474	4.61670062939326	4.475664655367534	4.167435010274251	4.5210139354070025	4.334265331427257	5.535321493943532	5.289860228697459	4.163492222627004	3.9395686388015747
