	Predictions													Projections												
avp	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.292288432	-0.288444756	-0.378715941	-0.37911613	-0.427447212	-0.338441425	-0.267028711	-0.503168888	-0.462840547	-0.579493646	-0.522658632	-0.63491387	-0.55926488
babbitter	1	1	1	1	1	2	1	1	1	1	2	2	1	-0.174865461	-0.165318146	-0.271771978	-0.135320505	-0.235883614	0.083564541	-0.088602391	-0.142490608	-0.230530081	-0.201561429	0.138128725	0.288618125	-0.026330682
babysitter	1	2	2	2	2	2	2	2	2	2	2	2	2	0.002540393	0.069155919	0.129634377	0.100192307	0.133421626	0.261584342	0.38001064	0.397418196	0.338700477	0.644199812	1.104293925	1.320999463	1.324459508
backbreaker	1	1	1	1	2	1	1	1	1	1	2	1	1	-0.090773639	-0.001159259	-0.026637578	-0.01286239	0.048888006	-0.0144906	-0.04576868	-0.254896204	-0.355031168	-0.116337869	0.078513569	-0.014843819	-0.350799015
backfiller	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.235692294	-0.199546133	-0.258441469	-0.144442914	-0.232671193	-0.237109424	-0.260907282	-0.486015628	-0.531912595	-0.580986051	-0.399205891	-0.211055461	-0.180607551
backwinder	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.266553543	-0.251535582	-0.351746018	-0.363996271	-0.437329496	-0.432164597	-0.485460837	-0.552715642	-0.621817325	-0.56970934	-0.395907102	-0.251161702	-0.254834492
baggageman	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.43204971	-0.439147529	-0.605871296	-0.643166605	-0.425759946	-0.363309477	-0.468268977	-0.548754629	-0.517330239	-0.322219854	0.027106713	0.325435592	0.265631925
baggagemaster	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.338004405	-0.356429753	-0.48400915	-0.480114453	-0.33473868	-0.264361852	-0.285912609	-0.321457171	-0.345857448	-0.188559907	0.071893039	0.203417496	0.591343976
bailiff	1	1	1	1	1	2	1	2	1	1	2	2	2	-0.474696405	-0.389621498	-0.320195264	-0.090939782	-0.215604187	0.009279549	-0.052883193	0.056650046	-0.128598861	-0.070149598	0.34750303	0.599098079	0.79393574
baker	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.176426644	-0.091793707	-0.230468378	-0.019232898	-0.197697328	-0.26141699	-0.457712916	-0.326309504	-0.386869931	-0.258747887	-0.210887962	-0.342446441	-0.516817657
balancer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.186630939	-0.232144866	-0.224367002	-0.159013421	-0.343520499	-0.354907834	-0.368144055	-0.442835731	-0.49783007	-0.366266602	-0.47198764	-0.469054311	-0.766560622
baler	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.257624405	-0.199732341	-0.3275383	-0.325705244	-0.353423171	-0.53283149	-0.617106817	-0.845825208	-0.604662351	-0.659099708	-0.524977335	-0.38400942	-0.500078215
ballaster	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.227150546	-0.237276751	-0.221921354	-0.152555794	-0.171015564	-0.188910103	-0.144074393	-0.344812147	-0.51154301	-0.397487629	-0.487203609	-0.61184044	-0.795565944
ballistician	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.183079761	-0.043166715	-0.09585854	-0.087574878	-0.068461882	-0.199276423	-0.328494538	-0.47791688	-0.617219149	-0.496954174	-0.759682288	-0.55088723	-0.791459648
bander	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.285276336	-0.286706392	-0.221923007	-0.135927023	-0.227642809	-0.103537241	-0.10538011	-0.298953491	-0.325046512	-0.310283141	-0.152431342	0.073644638	-0.318020765
bankman	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.44535988	-0.42215321	-0.435513229	-0.359754238	-0.308186367	-0.312500589	-0.403893514	-0.39812025	-0.432997186	-0.32627394	0.014587101	0.131751155	-0.012240584
