word	pred_gender_00	pred_gender_01	pred_gender_02	pred_gender_03	pred_gender_04	pred_gender_05	pred_gender_06	pred_gender_07	pred_gender_08	pred_gender_09	pred_gender_10	pred_gender_11	pred_gender_12	proj_gender_00	proj_gender_01	proj_gender_02	proj_gender_03	proj_gender_04	proj_gender_05	proj_gender_06	proj_gender_07	proj_gender_08	proj_gender_09	proj_gender_10	proj_gender_11	proj_gender_12
needlemaker	2	2	2	2	2	2	1	2	1	1	1	1	1	0.331848321786593	0.42293857100681387	0.31841532273731554	0.23598655945894315	0.0350055227354617	0.1762944322016732	-0.06211906428049857	0.03185368861089283	-0.43697328719445283	-0.5395063505590328	-0.8929146502503293	-1.2317026220528193	-1.113851240649632
needleworker	2	2	2	2	1	2	1	1	2	1	1	1	2	0.08857921346377645	0.11067520421004431	0.08049405855250402	0.016972369821380368	-0.12230226063173691	0.05360401841890122	-0.15389815355088707	-0.05525802079451936	0.008858491395623613	-0.19544562855595032	-0.39477780743349167	-0.8634026046136245	0.006392494537759308
negotiator	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.16095547167157429	-0.21060800870105212	-0.277512835274518	-0.40644087180794064	-0.4032558812718905	-0.4698237376764762	-0.3185469759145796	-0.4244687146654753	-0.8762505059384544	-0.9788491499820513	-0.5467305473681272	0.06353425516392974	-0.44379315208573983
nematologist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.08140849232673228	-0.1578913758152207	-0.2014462713179066	-0.14320668205674134	-0.21919341557572167	-0.2916266782056204	-0.36840204210450056	-0.045825755909540106	-0.27954204124098814	-0.2191540217740478	-0.08276380647140003	0.23047240644440237	-0.05575813086360762
neonatologist	1	1	1	1	1	1	1	1	2	2	2	2	1	-0.05112561463566956	-0.07554016370933858	-0.10165788567851197	-0.06998796384679538	-0.07418425710700857	-0.08722839359396928	-0.16528369497500206	-0.05707188949448533	0.1261743421742043	0.25289573074740673	0.1717891532407541	-0.0003630820488138564	-0.1140464792715894
nephrologist	1	1	1	1	1	1	1	2	1	1	1	1	1	-0.16085911206407086	-0.20310853903623288	-0.2622230548179167	-0.08804109000298009	-0.11289992898807463	-0.1730336803979384	-0.09322599901061493	0.02716079504277663	-0.08631813368534935	-0.022062466372818307	-0.036298571227542556	-0.12141806562657259	-0.16922795650213385
networker	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.09953665578908327	-0.13873763416851914	-0.18261891403840097	-0.17901629930289548	-0.24765065546711545	-0.1689855517708133	-0.3497743424444219	-0.5652355490480688	-0.7629777716209121	-0.8855677538073445	-1.3127736195384947	-1.361235874046614	-0.9596129941803921
neurobiologist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.1042682350976592	-0.2003524262424787	-0.3217633335699285	-0.33289836222153785	-0.31382494718537957	-0.3176092612008042	-0.30137333298809577	-0.3428361555878511	-0.4599922084043676	-0.33964623747814937	-0.21402184635912713	0.0075277730423463085	-0.25906442999621015
neurologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.09767645371097079	-0.18278289488602117	-0.2660516956852621	-0.2291903992658772	-0.29334733415667613	-0.22662976884024047	-0.28098604690771783	-0.23034573388626367	-0.2417835078514355	-0.44062849507255886	-0.29767448141692776	-0.15228464757649374	-0.5976183128447944
neuropathologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.08594718547324634	-0.22305208607564977	-0.3314429083920371	-0.28312444843308804	-0.30004966721898263	-0.3838591943028646	-0.4669685470762902	-0.34625925988522666	-0.3576959292594476	-0.5003615035038743	-0.26714898661201536	-0.12150166695718867	-0.7565278974443148
neurophysiologist	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.16256906470249524	-0.23033846524850948	-0.3185391993296829	-0.30603940563294907	-0.30512945738894925	-0.27121575064588055	-0.1716671460709418	-0.16588806836787118	-0.15590725670013916	-0.27268749673947673	0.001014662966491664	0.19018557752390575	0.1028678539438212
neuropsychiatrist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.12903137105933585	-0.20931422634909552	-0.3026649426932622	-0.33868909679920156	-0.4192291186760877	-0.44736684380846126	-0.49213738103266613	-0.5169707211278853	-0.43279856543539186	-0.549766973963807	-0.522418314890073	-0.5461257615508943	-0.5878531961200825
neuropsychologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.1640725961155967	-0.2632732315282956	-0.3192160494513789	-0.35197660041089657	-0.41306104441958125	-0.47671549034846095	-0.5253471162819427	-0.4429235485100179	-0.4349762511871802	-0.4233427152907986	-0.1399310788784346	-0.1485973778374281	-0.14924527904755325
neuroradiologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.20569693287408614	-0.25184037267271436	-0.309591921786312	-0.16725792759022154	-0.29598053175506184	-0.269656815730747	-0.37030297191486594	-0.3891523391080159	-0.520361045989123	-0.6494157269448317	-0.6652899340241863	-0.5976110396593648	-0.7338384910736364
neuroscientist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.13663312246875703	-0.20729268204139925	-0.29216990188589437	-0.3169875318911541	-0.25904162782904805	-0.23465389672899156	-0.29154693147499955	-0.3985611866387183	-0.4742584932158026	-0.4717499362391326	-0.3912769482045785	-0.4417814385754265	-0.3268102563765432
neurosurgeon	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.23063357490969377	-0.2657828419418713	-0.3013686506698231	-0.3648678129397681	-0.4996177751836628	-0.5104907666500745	-0.4785278267644934	-0.4523128831112955	-0.4690243031258202	-0.6379295522546756	-0.24308758670731123	-0.43586297399440266	-0.21906196668087494
